accel,acs,idx,psnr,ssim,l1
2,16,50,25.910385131835938,0.9433196783065796,0.0369835942983627
2,20,50,25.785320281982425,0.9428032040596008,0.0375138893723487
2,24,50,25.50194931030273,0.9404658675193788,0.0387172810733318
4,16,50,21.175004959106445,0.8672861456871033,0.0622610375285148
4,20,50,21.807353973388672,0.8811385631561279,0.0581635385751724
4,24,50,21.984270095825195,0.8852371573448181,0.0570533573627471
6,16,50,21.10036849975586,0.8637455105781555,0.0628323853015899
6,20,50,21.782419204711918,0.8783677220344543,0.0583584792912006
6,24,50,21.7479305267334,0.879003643989563,0.0586723238229751
8,16,50,20.7936954498291,0.8552039861679077,0.0649738013744354
8,20,50,21.31429481506348,0.867681622505188,0.0614924989640712
8,24,50,21.299755096435547,0.8687469363212585,0.0616556070744991
